NATIONALITY,COUNTRY_DESCRIPTION,AGE_GROUP,IF_TRAVEL_ALONE,TRAVELLING_WITH,AGE_GROUP1_SIZE (<18),AGE_GROUP2_SIZE (18-24),AGE_GROUP3_SIZE (25-44),AGE_GROUP4_SIZE (45-64),AGE_GROUP5_SIZE (65+),NO_FEMALE,NO_MALE,PURPOSE_CODE,PURPOSE_OTHER,ACTIVITY_MAIN,ACTIVITY_OTHERS,INFO_SOURCE,INFO_SOURCE_OTHERS,INFO_RADIO_TV_WEB,TOUR_ARRANGEMENT,PAC_TRANSPORT_INT,PAC_ACCOMODATION,PAC_FOOD,PAC_TRANSPORT_TZ,PAC_SIGHTSEEING,PAC_GUIDED_TOUR,PAC_INSURANCE,PAC_OTHER_ITEM,PACKAGE_COST,IF_GROUP_PACKAGE,NIGHTS_SPENT,NIGHTS_MAINLAND,NIGHTS_ZANZIBAR,CURRENCY1,CURRENCY2,SPENT_AMOUNT_TZ,ACCOMODATION,ACC_HOTEL,ACC_OTHERS,FOOD_DRINK,TRANS_AIR,TRANS_ROAD,TRANS_WATER,TRANS_RAILWAY,TRANS_RENTAL,COST_TRANSPORT_TZ,EXP_CULT_SERVICE,EXP_SPORT,EXP_SIGHTSEEING,MOUNTAIN_CLIMBING,HUNTING,GATE_FEES,VISA_TAXES,EXP_SHOPPING,EXP_OTHER,EXP_OTHER_DETAIL,IF_GROUP_BREAKDOWN,PAYMENT_MODE,PAYMENT_MODE_OTHERS,TZ_COST_COMPARISON,IF_FIRST_TRIP_TZ,MOST_IMPRESSING_TZ1,MOST_IMPRESSING_TZ2,MOST_IMPRESSING_TZ3,MOST_IMPRESSING_TZ4,IMPROVEMENT_AREAS1,IMPROVEMENT_AREAS2,IMPROVEMENT_AREAS3,IMPROVEMENT_AREAS4,OTHER1,OTHER2,OTHER3,VERIFICATION_FLAG,TRAVEL_ELSE_AFRICA
SOUTH AFRICAN,SOUTH AFRICA,45-64,NO,With Spouse,0,0,0,1,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,6,0,,ZAR,"7,000",,0,"4,000","1,000",0,0,0,0,0,,0,"2,000",0,0,0,0,0,0,0,,No,Cash,,,Yes,No comments,,,No comments," Improve Facilities (Toilets, Water,...)",,,,,,,0,
BRITISH,MALAWI,45-64,NO,With Spouse,0,0,1,1,0,1,2,Other,Collecting imported vehicle,Conference tourism,Collecting imported vehicle,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,3,0,,USD,"1,600",,Others (please specify)00,200,0,0,500,0,0,0,,0,0,0,0,0,0,0,100,0,,Yes,Cash,,,No,No comments,,,No comments,Others (please specify),,,,,,,0,
AUSTRALIAN,AUSTRALIA,45-64,NO,With Spouse,0,0,0,0,1,1,1,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,,"20,000",Yes,23,3,2,AUD,USD,"5,000",,"1,500",500,0,"1,500",0,0,0,0,,200,200,300,0,0,0,0,Others (please specify)00,0,,Yes,Credit Card,,,Yes,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)",,,,,,,0,
KENYAN,KENYA,25-44,YES,Alone,0,0,0,0,0,1,0,Meetings and Conference,,Mountain climbing,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,1,0,,TZS,"30,000",,0,0,"30,000",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,No,Friendly People,Good service,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Roads",,,,,,,0,
BRITISH,UNITED KINGDOM,25-44,YES,,0,0,0,0,0,1,0,Leisure and Holidays,,Cultural tourism,,Others (please specify),,LONELY PLANET,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,14,7,,GBP,"1,130",,300,200,0,Others (please specify)5,20,20,0,0,,0,15,200,0,0,200,40,50,0,,No,Cash,,,Yes,"Wonderful Country, Landscape, Nature", Wildlife, Wildlife,Satisfies and Hope Come Back,Flycatchers/ vendors are annoying, Improve on RoadsOthers (please specify),,,,,,0,
GERMAN,GERMANY,25-44,YES,,0,0,0,0,0,0,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,4,0,,USD,100,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,50,50,0,,No,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
SWISS,SWIZERLAND,25-44,NO,With Spouse,0,0,1,0,0,1,1,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,INTERNET,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,Others (please specify),12,,USD,"5,000",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,,Yes,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)", Improve on Roads Improve on Security/Safety,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,45-64,YES,Alone,0,0,0,0,0,0,1,Meetings and Conference,,Wildlife tourism0,,"Travel, agent, tour operator",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,1,0,,USD,Others (please specify)00,,650,0,150,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,No,Credit Card,,,No,Friendly People,,,Friendly People,Wider Acceptability of Credit Cards at Tourism Establishments,,,,,,,0,
SOUTH AFRICAN,SOUTH AFRICA,25-44,NO,With Other Friends/Relatives,0,0,2,0,0,0,3,Scientific and Academic,,Hunting tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,7,7,,TZS,"3,900,000",,0,0,"2,640,000","960,000","300,000",0,0,0,,0,0,0,0,0,0,0,0,0,,No,Cash,,,Yes,Friendly People,,,Friendly People, Improve on Roads Improve on Security/Safety,,,,,,,0,
OMANIS,OMAN,25-44,NO,With Other Friends/Relatives,0,2,0,0,0,0,3,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,19,0,,USD,"4,000",,"3,000",0,0,500,200,0,0,0,,0,0,0,0,0,0,150,150,0,,Yes,Cash,,,No,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
SPANISH,SPAIN,45-64,NO,With Other Friends/Relatives,0,2,0,1,0,2,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"12,000",Yes,13,6,7,EUR,EUR,500,,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,Yes,Cash,,,Yes, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,,,,,0,
BRITISH,UNITED KINGDOM,25-44,NO,With Other Friends/Relatives,0,0,1,0,0,2,0,Leisure and Holidays,,Wildlife tourism,,Others (please specify),LONELY PLANET,,Non-Package Tour(Independent),No,No,No,No,No,No,No,,0,,0,16,7,,GBP,3Others (please specify)75,,300,,300,0,50,200,0,0,,0,0,"3,000",0,0,0,0,25,0,,Yes,Cash,,,Yes,Friendly People, Wildlife,,Satisfies and Hope Come Back, Improve on Roads Improve on Roads,,,,,,,0,
