nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
BRITISH,UNITED KINGDOM,25-44,1,,1,0,1,Leisure and Holidays,,Cultural tourism,,Others (please specify),,LONELY PLANET,0,0,0,0,0,0,0,0,,0,,14,7,GBP,1130,300,200,0,85,20,20,0,0,,0,15,200,0,0,200,40,50,0,,0,Cash,,1,"Wonderful Country, Landscape, Nature", Wildlife, Wildlife,Satisfies and Hope Come Back,Flycatchers/ vendors are annoying, Improve on RoadsOthers (please specify),,
GERMAN,GERMANY,25-44,1,,0,1,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,100,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,50,50,0,,0,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SWISS,SWIZERLAND,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,INTERNET,0,0,0,0,0,0,0,0,,0,,8,12,USD,5000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,1,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)", Improve on Roads Improve on Security/Safety,,
SOUTH AFRICAN,SOUTH AFRICA,45-64,1,Alone,0,1,1,Meetings and Conference,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,800,650,0,150,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,0,Friendly People,,,Friendly People,Wider Acceptability of Credit Cards at Tourism Establishments,,,
SOUTH AFRICAN,SOUTH AFRICA,25-44,0,With Other Friends/Relatives,0,3,3,Scientific and Academic,,Hunting tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,7,7,TZS,3900000,0,0,2640000,960000,300000,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Friendly People,,,Friendly People, Improve on Roads Improve on Security/Safety,,,
OMANIS,OMAN,25-44,0,With Other Friends/Relatives,0,3,3,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,19,0,USD,4000,3000,0,0,500,200,0,0,0,,0,0,0,0,0,0,150,150,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SPANISH,SPAIN,45-64,0,With Other Friends/Relatives,2,2,4,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,EUR,12000,1,6,7,EUR,500,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,UNITED KINGDOM,25-44,0,With Other Friends/Relatives,2,0,2,Leisure and Holidays,,Wildlife tourism,,Others (please specify),LONELY PLANET,,0,0,0,0,0,0,0,0,,0,,16,7,GBP,3875,300,,300,0,50,200,0,0,,0,0,3000,0,0,0,0,25,0,,1,Cash,,1,Friendly People, Wildlife,,Satisfies and Hope Come Back, Improve on Roads Improve on Roads,,,
CANADIAN,CANADA,65+,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Newspaper, magazines,brochures",,,1,1,1,1,1,1,1,1,USD,12000,1,9,3,USD,500,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)",,,
INDIAN,INDIA,25-44,0,With Other Friends/Relatives,0,2,2,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,7,1,USD,200,0,0,20,0,0,70,0,0,,0,0,0,50,0,0,30,60,0,,0,Cash,,1,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
