nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
INDIAN,INDIA,25-44,1,Alone,0,1,1,Meetings and Conference,,Mountain climbing,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,2,0,USD,1150,500,0,300,0,100,0,0,0,,0,0,0,0,0,250,0,0,0,,0,Cash,,1,Good serviceGood service,,,Good serviceGood service,Slow airport procedures/ slow processing of VISA at Entry,,,
AMERICAN,UNITED STATES OF AMERICA,45-64,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,6,0,USD,720,0,0,0,160,360,0,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,1,Good service,Friendly People, Wildlife,Good service," Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...) Improve on Roads",,
NEW ZEALANDER,NEW ZEALAND,65+,1,,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,Others (please specify),,internet,0,0,0,0,0,0,0,0,,0,,6,0,USD,460,0,0,90,0,0,0,0,0,,0,70,0,0,0,0,0,250,50,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,UNITED KINGDOM,18-24,1,Alone,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,45,0,USD,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,200,,0,Cash,,1,Friendly People,Satisfies and Hope Come Back,,History and Culture, Improve on Roads," Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...)0",
GERMAN,GERMANY,25-44,0,With Other Friends/Relatives,2,0,2,Leisure and Holidays,,Wildlife tourism,,Others (please specify),,TRAVEL GUIDE BOOK,0,0,0,0,0,0,0,0,,0,,12,15,EUR,12000,0,4800,2400,600,1200,1200,0,0,,0,0,0,0,0,600,0,1200,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature", Wildlife,Good serviceGood service, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,UNITED KINGDOM,45-64,1,Alone,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,13,2,GBP,1500,0,200,500,0,0,100,0,0,,0,0,0,0,0,0,0,500,500,GIFT AND TIPS,0,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
ITALIAN,ITALY,45-64,0,With Other Friends/Relatives,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,USD,1200,400,0,400,320,0,0,0,0,,0,0,0,0,0,0,0,0,80,,1,Cash,,1,"Wonderful Country, Landscape, Nature", Wildlife,, Wildlife, Improve on Roads,,,
BURUNDESE,NETHERLANDS,25-44,1,,1,0,1,Visiting Friends and Relatives,,Hunting tourism,VISITING RELATIVES,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,30,0,EUR,1000,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,0,Cash,,1,Satisfies and Hope Come Back,,,Satisfies and Hope Come Back," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
SOUTH AFRICAN,SOUTH AFRICA,25-44,1,Alone,0,1,1,Leisure and Holidays,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,3,7,USD,1100,600,0,100,100,100,0,0,0,,50,100,0,0,0,0,0,50,0,,0,Cash,,1,Friendly People,Excellent Experience,,Friendly People," Improve Facilities (Toilets, Water,...)Wider Acceptability of Credit Cards at Tourism Establishments",,,
SOUTH AFRICAN,SOUTH AFRICA,25-44,0,With Other Friends/Relatives,0,2,2,Meetings and Conference,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,250,230,0,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...) Improve on Roads",,,
SPANISH,SPAIN,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,15,7,USD,5000,2000,0,1000,400,200,0,0,0,,0,0,0,0,0,0,0,600,0,,,Cash,,1,"Wonderful Country, Landscape, Nature",,, Wildlife," Improve Facilities (Toilets, Water,...)Wider Acceptability of Credit Cards at Tourism Establishments",,,
ITALIAN,UNITED KINGDOM,25-44,0,With Other Friends/Relatives,1,2,3,Leisure and Holidays,,Conference tourism,,"Friends, relatives",,,1,1,1,0,1,1,1,0,EUR,8700,1,7,8,USD,900,0,600,0,0,0,0,0,0,,0,0,0,0,0,0,0,300,0,,1,Cash,,1,Good service0,,,Good service1," Improve Facilities (Toilets, Water,...)",,,
COMORIAN,COMORO,25-44,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,0,5,USD,1473,0,543,0,150,0,90,0,0,,0,0,0,0,0,90,100,500,0,,1,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on RoadsWider AcceptabSlow/poor customer services,,,
BRITISH,UNITED STATES OF AMERICA,45-64,0,With Other Friends/Relatives,4,0,4,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,0,0,USD,10000,1,10,3,USD,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...) Improve on Roads",,,
UGANDAN,UGANDA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,60,2,TZS,4966000,3316000,0,1000000,0,500000,150000,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Wider AcceptabSlow/poor customer services"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,
NEW ZEALANDER,NEW ZEALAND,18-24,1,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,1,USD,1000,500,300,200,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AUSTRALIAN,AUSTRALIA,45-64,1,,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,0,TZS,70000,0,0,0,0,70000,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)",,,
BRITISH,UNITED KINGDOM,18-24,1,Alone,0,1,1,Leisure and Holidays,,Cultural tourism,,"Radio, TV, Web (please specify)",,WEB,1,0,1,1,1,1,1,1,GBP,1850,0,15,0,USD,280,0,0,250,0,0,0,0,0,,0,0,0,0,0,0,40,0,0,,0,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
SWISS,SWIZERLAND,25-44,1,Alone,0,1,1,Leisure and Holidays,,Conference tourism,,"Newspaper, magazines,brochures",,,1,1,1,1,1,0,0,0,CHF,5800,0,11,3,USD,300,0,0,300,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Other Friends/Relatives,0,2,2,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,11,0,USD,3000,2000,0,900,1600,400,0,0,0,,0,500,0,0,0,400,200,0,0,,1,Cash,,0, Wildlife,Friendly People,,1,Too many tips demanded/ Corruption,,,
DUTCH,NETHERLANDS,25-44,0,With Spouse and Children,2,2,4,Other,STUDY PHD,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,90,0,TZS,100000,0,0,40000,0,0,0,0,0,,0,0,0,0,0,0,0,60000,0,,0,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)",,,
BELGIAN,BELGIUM,45-64,0,With Spouse,1,1,2,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,5,0,TZS,1400000,0,300000,100000,0,900000,0,0,0,,0,0,0,0,0,100000,0,0,0,,1,Credit Card,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
DANISH,DENMARK,65+,0,With Other Friends/Relatives,2,2,4,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,1,1,1,0,1,1,1,0,DKK,30000,,14,0,DKK,2500,0,1000,1500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,0,1,1,0,USD,7500,1,9,5,USD,2500,0,0,1000,0,200,0,0,0,,100,100,100,0,0,0,200,300,500,TIPS,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Other Friends/Relatives,2,0,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,USD,9000,1,12,3,USD,500,0,0,500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
GERMAN,SPAIN,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,0,1,1,1,EUR,8000,1,5,3,USD,100,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
MALAYSIAN,MALAYSIA,25-44,1,Alone,0,1,1,Meetings and Conference,,Mountain climbing,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,3,0,USD,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,0,Good service,,,Good service," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
INDIAN,INDIA,25-44,1,,0,1,1,Meetings and Conference,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,84,0,USD,1825,0,250,250,0,0,0,0,0,,0,0,0,0,0,0,250,750,75,TIPS,0,Cash,,1,Good service,,,Good service," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
UGANDAN,UNITED KINGDOM,25-44,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,14,0,USD,1450,800,0,140,0,0,0,0,0,,20,0,200,0,0,0,50,40,200,CASINO,1,Cash,,0,"Wonderful Country, Landscape, Nature", Wildlife,, Wildlife, Improve on Roads," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,
SPANISH,SPAIN,25-44,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,1,0,EUR,4000,1,6,2,USD,450,200,0,100,0,0,0,0,0,,0,100,0,0,0,50,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CANADIAN,KENYA,25-44,1,,1,0,1,Meetings and Conference,,business,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,15,0,USD,2000,1600,0,400,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife,Slow airport procedures/ slow processing of VISA at Entry,,,
NORWEGIAN,NORWAY,18-24,0,With Other Friends/Relatives,4,0,4,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,0,NOK,8000,1,11,6,NOK,27000,0,0,0,10000,0,5000,0,0,,0,0,0,0,0,5000,0,7000,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature", Improve on Roads,,,
AMERICAN,UNITED STATES OF AMERICA,25-44,1,,1,0,1,Scientific and Academic,,Hunting tourism,SCIENTIFIC AND ACADEMIC,"Travel, agent, tour operator",,,1,1,1,0,0,1,1,0,USD,6000,0,81,5,USD,3000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,UNITED KINGDOM,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,AIRPORT ADVISOR,0,0,0,0,0,0,0,0,,0,,19,0,GBP,340,0,0,200,0,0,0,0,0,,0,0,0,0,0,0,40,100,0,,1,Cash,,0,Friendly People,,,Friendly People, Improve on RoadsWider Acceptability of Credit Cards at Tourism Establishments,,,
DUTCH,NETHERLANDS,45-64,1,Alone,1,0,1,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,15,0,USD,1000,0,500,500,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
BRITISH,UNITED KINGDOM,18-24,1,,1,0,1,Volunteering,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,70,0,EUR,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,0,Cash,,1, Wildlife,,, Wildlife,Wider AcceptabSlow/poor customer services,,,
ZIMBABWEAN,ZIMBABWE,25-44,1,,0,1,1,Scientific and Academic,,Beach tourism,,"Radio, TV, Web (please specify)",,,0,0,0,0,0,0,0,0,,0,,21,0,USD,500,0,0,0,0,0,0,0,0,,0,0,100,0,0,0,0,400,0,,1,Cash,,1,Friendly People,Good service,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Roads",,,
ZAMBIAN,ZAMBIA,45-64,0,With Other Friends/Relatives,1,1,2,Meetings and Conference,,Mountain climbing,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,7,0,USD,250,180,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,20,0,,1,Cash,,1,Friendly People, Wildlife,,No comments," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,,
SPANISH,SPAIN,25-44,1,Alone,1,0,1,Leisure and Holidays,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,12,6,EUR,1000,600,0,300,0,40,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)0"," Improve Facilities (Toilets, Water,...)",,
BRITISH,UNITED KINGDOM,45-64,0,With Spouse and Children,2,2,4,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,12,3,EUR,1000,700,0,300,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
GERMAN,GERMANY,25-44,1,Alone,0,1,1,Leisure and Holidays,,Hunting tourism,URBAN TOURISM,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,4,2,USD,1000,600,0,330,0,0,70,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0", Improve on Security/Safety,,
OMANIS,OMAN,18-24,1,,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,8,3,USD,700,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,0,No comments,,,No comments, Improve on Roads,,,
ITALIAN,ITALY,45-64,0,With Other Friends/Relatives,0,2,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,7,7,EUR,3000,200,0,500,100,0,0,0,0,,0,0,2000,0,0,0,0,200,0,,1,Cash,,1, Wildlife, Wildlife,,Satisfies and Hope Come Back, Improve on Roads Improve on Security/Safety,,,
AMERICAN,UNITED STATES OF AMERICA,25-44,0,With Spouse,1,1,2,Meetings and Conference,,Wildlife tourism,,Others (please specify),LONELY PLANET,,0,0,0,0,0,0,0,0,,0,,12,0,USD,4500,0,0,0,0,0,0,0,0,,0,0,4500,0,0,0,0,0,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)0",,,
KENYAN,KENYA,25-44,1,Alone,0,1,1,Meetings and Conference,,Mountain climbing,,Trade fair,,,0,0,0,0,0,0,0,0,,0,,4,1,USD,2000,1500,0,250,0,250,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,IRELAND,45-64,1,Alone,0,1,1,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,12,0,USD,1300,1000,300,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Credit Card,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
CHINESE,KENYA,25-44,1,,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,3,0,USD,630,100,0,30,500,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,NETHERLANDS,65+,1,Alone,1,0,1,Visiting Friends and Relatives,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,42,0,USD,5500,2000,0,0,1000,800,200,0,0,,0,0,0,500,0,0,0,1000,0,,0,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
BRITISH,UNITED KINGDOM,25-44,1,With Spouse,0,1,1,Visiting Friends and Relatives,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,6,0,GBP,1000,700,0,300,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
SWEDISH,SWEDEN,25-44,0,With Other Friends/Relatives,1,1,2,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,INTERNET,0,0,0,0,0,0,0,0,,0,,0,13,USD,1500,500,500,0,0,0,100,0,0,,0,200,0,0,0,0,0,0,200,,1,Cash,,1,Friendly People,,,Friendly People, Improve on Security/Safety," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,
SPANISH,SPAIN,25-44,0,With Spouse,0,0,0,Leisure and Holidays,,Wildlife tourism,,Others (please specify),INTERNET,,1,0,1,1,1,1,1,1,EUR,3500,1,8,6,EUR,500,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,400,0,,1,Cash,,1,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature"," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AUSTRALIAN,AUSTRIA,25-44,1,Alone,0,1,1,Leisure and Holidays,,Beach tourism,,"Newspaper, magazines,brochures",,,1,0,1,0,1,0,1,0,AED,2400,1,4,3,AED,500,0,0,200,0,0,0,0,0,,0,0,150,0,0,0,50,100,0,,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
SWISS,SWIZERLAND,65+,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,0,0,0,0,CHF,20000,1,15,6,USD,3500,2000,1000,0,0,0,0,0,0,,0,0,0,0,0,0,0,500,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
GERMAN,GERMANY,45-64,0,With Spouse and Children,2,1,3,Leisure and Holidays,,Cultural tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,1,1,1,USD,22000,1,18,3,USD,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)"," Improve Facilities (Toilets, Water,...) Improve on Security/Safety",,
CONGOLESE,CONGO,25-44,1,,0,1,1,Visiting Friends and Relatives,,Cultural tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,11,0,USD,539,300,0,100,0,90,0,0,0,,0,0,0,0,0,0,49,0,0,,0,Cash,,0,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
NORWEGIAN,NORWAY,25-44,0,With Other Friends/Relatives,1,1,2,Visiting Friends and Relatives,,Hunting tourism,WEDDING,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,7,USD,1030,500,200,0,0,0,80,0,0,,0,0,200,0,0,0,50,0,0,,1,Cash,,1, Wildlife, Wildlife,,Satisfies and Hope Come Back,Slow airport procedures/ slow processing of VISA at Entry,,,
SOUTH AFRICAN,SOUTH AFRICA,25-44,0,With Other Friends/Relatives,1,1,2,Leisure and Holidays,,Cultural tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,11,3,ZAR,10000,2000,0,5000,1000,0,0,0,0,,2000,0,0,0,0,0,0,0,0,,0,Credit Card,,1,Friendly People,Good serviceGood service,,Friendly People, Improve on Roads, Improve on Security/Safety,,
BRITISH,UNITED KINGDOM,25-44,1,,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,30,0,EUR,1000,500,0,250,0,50,0,0,0,,0,50,150,0,0,0,0,0,0,,0,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AMERICAN,UNITED STATES OF AMERICA,45-64,1,Alone,0,1,1,Leisure and Holidays,,Cultural tourism,,Others (please specify),,INTERNET,0,0,0,0,0,0,0,0,,0,,1,5,USD,2500,1000,0,0,1000,0,0,0,0,,0,0,500,0,0,0,0,0,0,,0,Cash,,1,Friendly People,,,Friendly People,Too many tips demanded/ Corruption,,,
GERMAN,GERMANY,45-64,0,With Other Friends/Relatives,2,1,3,Leisure and Holidays,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,10,9,EUR,3000,1000,0,0,1000,100,200,0,0,,0,200,0,0,0,0,500,0,0,,1,Cash,,1,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
BRITISH,UNITED KINGDOM,45-64,0,With Spouse and Children,1,2,3,Visiting Friends and Relatives,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,14,0,TZS,3000000,0,0,1500000,0,0,0,0,0,,0,0,1000000,0,0,0,0,0,500000,TIPS,1,Cash,,0,"Wonderful Country, Landscape, Nature",,,"Wonderful Country, Landscape, Nature",Too many tips demanded/ Corruption,,,
BRITISH,UNITED KINGDOM,45-64,0,With Spouse,1,1,2,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,1,1,1,1,0,1,1,GBP,11500,,7,7,GBP,200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,200,0,,1,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
AMERICAN,UNITED STATES OF AMERICA,25-44,1,Alone,0,1,1,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,6,0,GBP,150,0,100,0,0,0,0,0,0,,15,0,0,0,0,0,0,35,0,,1,Cash,,1,Satisfies and Hope Come Back,,,Satisfies and Hope Come Back, Improve on Roads,,,
AMERICAN,UNITED STATES OF AMERICA,25-44,1,Alone,1,0,1,Leisure and Holidays,,Conference tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,14,1,USD,400,100,50,100,50,50,0,0,0,,0,0,0,50,0,0,0,0,0,,1,Cash,,0,Good service0,,,Good service1," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
KENYAN,KENYA,65+,1,Alone,0,1,1,Scientific and Academic,,Hunting tourism,VISITING RELATIVES,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,12,0,KES,200000,200000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Friendly People,"Wonderful Country, Landscape, Nature",, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
FINISH,FINLAND,25-44,1,Alone,1,0,1,Leisure and Holidays,,Beach tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,2,5,USD,1500,400,200,0,500,0,0,0,0,,0,400,0,0,0,0,0,0,0,,0,Cash,,1,"Wonderful Country, Landscape, Nature",Friendly People,,2, Improve on RoadsWider AcceptabSlow/poor customer services,,,
KENYAN,KENYA,25-44,0,With Other Friends/Relatives,5,5,10,Meetings and Conference,,Beach tourism,,Tanzania Mission Abroad,,,1,1,1,1,0,0,0,0,TZS,2000000,0,10,0,TZS,680000,200000,0,180000,0,200000,0,0,0,,0,0,0,0,0,0,0,100000,0,,0,Cash,,0, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
